"Rank","Address","XDP Allocation","Raw Amount","Block","Tx Hash"
"1741","0xb595a230755871c1b9aaca0592e55fac30812705","1091.326576672278720211","1091326576672278720211","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1742","0xa71522689913c3b8a2f1d6ab8fa0d553987e32c8","1084.452866335597629236","1084452866335597629236","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1743","0xd403136ba0507ba41519503c4729fcf52a8841c0","1074.593165100434745065","1074593165100434745065","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1744","0xffb964ca4865a4f6d95635f68d92496037ac291f","1068.344580536035666837","1068344580536035666837","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1745","0x22bce88ac287d45736ea0ea0f15b0c37c0740a08","1065.777790705645165698","1065777790705645165698","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1746","0x4e0eca12c7a9f8e30a11c72f272754a95813dd86","1065.72885558541172342","1065728855585411723420","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1747","0x9b04a3cb987515bd48081d8a977b4b78e1b685d2","1059.998970533183790807","1059998970533183790807","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1748","0xb5fbeee9c58f09e53dcba4b77dd30029f839e5c5","1058.267517570876385354","1058267517570876385354","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1749","0xbb87b5b6b1b828fb26ed6bcd731fbc2e8aa89039","1054.753735475599376255","1054753735475599376255","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1750","0x6811523b054bc922331802c59f44b147108402f3","1054.055737432153760109","1054055737432153760109","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1751","0x96119fb863f53a8fdfd3f944c68db9dae2af931a","1053.701473177085865072","1053701473177085865072","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1752","0xf3789222dcfd262bc59ff9b8de3498126adbec09","1052.386863478930682292","1052386863478930682292","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1753","0x6da1bac246f79002bc7aca4e8c5630f9eb900fc8","1038.040407500000740021","1038040407500000740021","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1754","0x204f745f5e61d2c306b873aa88b248e33adf7a8e","1036.361899505483444109","1036361899505483444109","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1755","0x6da09e519b60143688526d35554082e1e43b0fa6","1033.568540213925447595","1033568540213925447595","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1756","0x56ebcc941e5754cc9114e84f8ed48b38e0f1171f","1029.717828157666705786","1029717828157666705786","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1757","0x336c20c1e9aae29dda0f574857e5c32e74030709","1027.383337056829894675","1027383337056829894675","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1758","0x6cc76c912a73ff6748498d0b315fa2f00a1bc74d","1025.740630717125673801","1025740630717125673801","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1759","0xec1257d76f124950918d418733a11f529941e5b5","1025.062708575168859294","1025062708575168859294","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1760","0xa91f401786cc859e4db738171b405a54fae4a5e7","1017.53586055008096227","1017535860550080962270","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1761","0x895cde841340e16579626f700e8f93f7f847b5bb","1012.416919641467931606","1012416919641467931606","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1762","0x9ccb43a5441f4cf242e7176d0bd99076e57caefc","1010.258211605586125329","1010258211605586125329","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1763","0xbcfd98ef8a736bb54bae21443f65b5e16eaac853","1008.864215049273332241","1008864215049273332241","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1764","0x75d84dcb49022917dba07fca7ebe335667231a75","1006.134437263040421863","1006134437263040421863","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1765","0xc006d2dbfee189576234f6b7d853f06ad3be35a9","1004.598929201118580231","1004598929201118580231","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1766","0xb987462e8f1e7141c8ecfe9eeb18042f6a19188d","995.376103178029117121","995376103178029117121","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1767","0xf5bdd97237163cdc2996797f97859057dfe498e2","995.30343984698677408","995303439846986774080","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1768","0xb48c2d3c004a4b7ac37a547cf8b3c0b85daba66c","992.187613858073738249","992187613858073738249","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1769","0x42864b0fcab52e4d346124964c98e2e8ee374dba","987.577484335354583291","987577484335354583291","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1770","0xd3dbb1dfd87b745ecc49a62a78c665277a443ff3","985.510237584090083767","985510237584090083767","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1771","0x1cd935e80a753325a4fbb836ec7d932b5bf9301e","980.520086804229897152","980520086804229897152","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
